Tm,R/G,BA,OBP,SLG
BAL,4.57,.268,.332,.415
BOS,5.38,.270,.352,.454
CHW,4.47,.258,.329,.411
CLE,4.77,.264,.339,.417
DET,4.56,.260,.331,.416
KCR,4.23,.259,.318,.405
LAA,5.45,.285,.350,.441
MIN,5.01,.274,.345,.429
NYY,5.65,.283,.362,.478
OAK,4.69,.262,.328,.397
SEA,3.95,.258,.314,.402
TBR,4.96,.263,.343,.439
TEX,4.84,.260,.320,.445
TOR,4.93,.266,.333,.440
BAL,3.78,.259,.316,.386
BOS,5.05,.268,.339,.451
CHW,4.64,.268,.332,.420
CLE,3.99,.248,.322,.378
DET,4.64,.268,.335,.415
KCR,4.17,.274,.331,.399
LAA,4.20,.248,.311,.390
MIN,4.82,.273,.341,.422
NYY,5.30,.267,.350,.436
OAK,4.09,.256,.324,.378
SEA,3.17,.236,.298,.339
TBR,4.95,.247,.333,.403
TEX,4.86,.276,.338,.419
TOR,4.66,.248,.312,.454
BAL,4.37,.257,.316,.413
BOS,5.40,.280,.349,.461
CHW,4.04,.252,.319,.388
CLE,4.35,.250,.317,.396
DET,4.86,.277,.340,.434
KCR,4.51,.275,.329,.415
LAA,4.12,.253,.313,.402
MIN,3.82,.247,.306,.360
NYY,5.35,.263,.343,.444
OAK,3.98,.244,.311,.369
SEA,3.43,.233,.292,.348
TBR,4.36,.244,.322,.402
TEX,5.28,.283,.340,.460
TOR,4.59,.249,.317,.413
BAL,4.40,.247,.311,.417
BOS,4.53,.260,.315,.415
CHW,4.62,.255,.318,.422
CLE,4.12,.251,.324,.381
DET,4.48,.268,.335,.422
KCR,4.17,.265,.317,.400
LAA,4.73,.274,.332,.433
MIN,4.33,.260,.325,.390
NYY,4.96,.265,.337,.453
OAK,4.40,.238,.310,.404
SEA,3.82,.234,.296,.369
TBR,4.30,.240,.317,.394
TEX,4.99,.273,.334,.446
TOR,4.42,.245,.309,.407
BAL,4.60,.260,.313,.431
BOS,5.27,.277,.349,.446
CHW,3.69,.249,.302,.378
CLE,4.60,.255,.327,.410
DET,4.91,.283,.346,.434
HOU,3.77,.240,.299,.375
KCR,4.00,.260,.315,.379
LAA,4.52,.264,.329,.414
MIN,3.79,.242,.312,.380
NYY,4.01,.242,.307,.376
OAK,4.73,.254,.327,.419
SEA,3.85,.237,.306,.390
TBR,4.29,.257,.329,.408
TEX,4.48,.262,.323,.412
TOR,4.40,.252,.318,.411
