Tm,RA/G,H9,BB9,SO9
BAL,5.41,10.3,3.4,5.9
BOS,4.54,9.4,3.3,7.7
CHW,4.52,9.0,3.2,7.0
CLE,5.34,9.9,3.8,6.2
DET,4.57,9.0,3.7,6.9
KCR,5.20,9.4,3.8,7.3
LAA,4.70,9.4,3.3,6.6
MIN,4.69,9.6,2.9,6.5
NYY,4.65,8.6,3.6,7.8
OAK,4.70,9.2,3.3,7.0
SEA,4.27,8.4,3.3,6.5
TBR,4.65,9.0,3.2,7.1
TEX,4.57,9.0,3.3,6.4
TOR,4.76,9.4,3.4,7.3
BAL,4.85,9.4,3.3,6.3
BOS,4.59,8.7,3.6,7.5
CHW,4.35,9.2,3.0,7.1
CLE,4.64,9.3,3.6,6.1
DET,4.59,9.0,3.3,6.6
KCR,5.22,9.7,3.5,6.5
LAA,4.33,8.8,3.5,7.0
MIN,4.14,9.2,2.4,6.5
NYY,4.28,8.4,3.4,7.2
OAK,3.86,8.3,3.2,6.7
SEA,4.31,8.8,2.8,6.1
TBR,4.01,8.3,3.0,7.4
TEX,4.24,8.4,3.4,7.3
TOR,4.49,8.8,3.4,7.4
BAL,5.31,9.8,3.3,6.5
BOS,4.55,8.4,3.3,7.5
CHW,4.36,9.0,2.7,7.5
CLE,4.69,9.2,2.9,6.3
DET,4.39,8.8,3.1,7.0
KCR,4.70,9.2,3.5,6.7
LAA,3.91,8.5,2.9,6.5
MIN,4.96,9.9,3.0,6.0
NYY,4.06,8.8,3.1,7.5
OAK,4.19,8.6,3.2,7.2
SEA,4.17,8.6,2.7,6.8
TBR,3.79,7.8,3.1,7.1
TEX,4.18,8.3,2.9,7.4
TOR,4.70,8.8,3.3,7.2
BAL,4.35,8.7,2.9,7.1
BOS,4.98,9.0,3.3,7.3
CHW,4.17,8.5,3.1,7.8
CLE,5.22,9.4,3.4,6.8
DET,4.14,8.9,2.8,8.3
KCR,4.60,9.3,3.4,7.3
LAA,4.31,8.4,3.0,7.3
MIN,5.14,9.6,2.9,5.9
NYY,4.12,8.7,2.7,8.2
OAK,3.79,8.3,2.8,7.0
SEA,4.02,8.4,2.8,7.2
TBR,3.56,7.6,2.9,8.5
TEX,4.36,8.6,2.8,8.0
TOR,4.84,9.0,3.6,7.1
BAL,4.38,8.9,2.9,7.2
BOS,4.05,8.5,3.2,8.0
CHW,4.46,8.8,3.1,7.7
CLE,4.09,8.5,3.5,8.6
DET,3.85,8.4,2.8,8.8
HOU,5.23,9.6,3.9,6.8
KCR,3.71,8.5,2.9,7.5
LAA,4.55,9.1,3.3,7.4
MIN,4.86,9.9,2.8,6.1
NYY,4.14,9.0,2.7,7.7
OAK,3.86,8.3,2.7,7.3
SEA,4.65,9.0,2.9,8.0
TBR,3.96,8.1,3.0,8.1
TEX,3.90,8.4,3.1,8.1
TOR,4.67,9.0,3.1,7.5
