Tm,R/G,BA,OBP,SLG
ARI,4.44,.253,.324,.418
ATL,4.54,.263,.339,.405
CHC,4.39,.255,.332,.407
CIN,4.15,.247,.318,.394
COL,4.96,.261,.343,.441
FLA,4.77,.268,.340,.416
HOU,3.97,.260,.319,.400
LAD,4.81,.270,.346,.412
MIL,4.85,.263,.341,.426
NYM,4.14,.270,.335,.394
PHI,5.06,.258,.334,.447
PIT,3.95,.252,.318,.387
SDP,3.94,.242,.321,.381
SFG,4.06,.257,.309,.389
STL,4.51,.263,.332,.415
WSN,4.38,.258,.337,.406
ARI,4.40,.250,.325,.416
ATL,4.56,.258,.339,.401
CHC,4.23,.257,.320,.401
CIN,4.88,.272,.338,.436
COL,4.75,.263,.336,.425
FLA,4.44,.254,.321,.403
HOU,3.77,.247,.303,.362
LAD,4.12,.252,.322,.379
MIL,4.63,.262,.335,.424
NYM,4.05,.249,.314,.383
PHI,4.77,.260,.332,.413
PIT,3.62,.242,.304,.373
SDP,4.10,.246,.317,.371
SFG,4.30,.257,.321,.408
STL,4.54,.263,.332,.402
WSN,4.04,.250,.318,.390
ARI,4.51,.250,.322,.413
ATL,3.96,.243,.308,.387
CHC,4.04,.256,.314,.401
CIN,4.54,.256,.326,.408
COL,4.54,.258,.329,.410
FLA,3.86,.247,.318,.388
HOU,3.80,.258,.311,.374
LAD,4.00,.257,.322,.375
MIL,4.45,.261,.325,.425
NYM,4.43,.264,.335,.391
PHI,4.40,.253,.323,.395
PIT,3.77,.244,.309,.368
SDP,3.66,.237,.305,.349
SFG,3.52,.242,.303,.368
STL,4.70,.273,.341,.425
WSN,3.88,.242,.309,.383
ARI,4.53,.259,.328,.418
ATL,4.32,.247,.320,.389
CHC,3.78,.240,.302,.378
CIN,4.13,.251,.315,.411
COL,4.68,.274,.330,.436
HOU,3.60,.236,.302,.371
LAD,3.93,.252,.317,.374
MIA,3.76,.244,.308,.382
MIL,4.79,.259,.325,.437
NYM,4.01,.249,.316,.386
PHI,4.22,.255,.317,.400
PIT,4.02,.243,.304,.395
SDP,4.02,.247,.319,.380
SFG,4.43,.269,.327,.397
STL,4.72,.271,.338,.421
WSN,4.51,.261,.322,.428
ARI,4.23,.259,.323,.391
ATL,4.25,.249,.321,.402
CHC,3.72,.238,.300,.392
CIN,4.31,.249,.327,.391
COL,4.36,.270,.323,.418
LAD,4.01,.264,.326,.396
MIA,3.17,.231,.293,.335
MIL,3.95,.252,.311,.398
NYM,3.82,.237,.306,.366
PHI,3.77,.248,.306,.384
PIT,3.91,.245,.313,.396
SDP,3.81,.245,.308,.378
SFG,3.88,.260,.320,.381
STL,4.83,.269,.332,.401
WSN,4.05,.251,.313,.398
