Tm,RA/G,H9,BB9,SO9
ARI,4.83,9.1,3.3,7.2
ATL,3.96,8.6,3.3,7.6
CHC,4.17,8.3,3.6,7.9
CIN,4.46,8.8,3.6,6.6
COL,4.41,8.9,3.3,7.2
FLA,4.73,8.9,3.7,7.8
HOU,4.75,9.6,3.4,7.2
LAD,3.77,7.7,3.6,7.8
MIL,5.05,9.4,3.8,6.9
NYM,4.67,9.2,3.9,6.5
PHI,4.38,9.1,3.0,7.1
PIT,4.77,9.5,3.6,5.8
SDP,4.75,8.8,3.7,7.4
SFG,3.77,7.9,3.6,8.1
STL,3.95,8.8,2.9,6.6
WSN,5.40,9.7,4.0,5.8
ARI,5.16,9.4,3.4,6.7
ATL,3.88,8.3,3.2,7.8
CHC,4.73,8.8,3.8,7.9
CIN,4.23,8.7,3.2,7.0
COL,4.43,8.8,3.3,7.7
FLA,4.43,9.0,3.4,7.3
HOU,4.50,9.0,3.4,7.6
LAD,4.27,8.3,3.4,8.0
MIL,4.96,9.3,3.6,7.9
NYM,4.02,8.9,3.4,6.9
PHI,3.95,8.7,2.6,7.3
PIT,5.35,10.0,3.4,6.5
SDP,3.59,8.1,3.2,8.0
SFG,3.60,7.9,3.6,8.2
STL,3.96,8.7,3.0,6.8
WSN,4.58,9.2,3.2,6.7
ARI,4.09,8.8,2.8,6.6
ATL,3.73,8.1,3.2,8.1
CHC,4.67,9.0,3.6,7.7
CIN,4.44,8.7,3.3,6.8
COL,4.78,9.1,3.2,7.0
FLA,4.33,8.7,3.1,7.5
HOU,4.91,9.3,3.5,7.5
LAD,3.80,8.1,3.2,8.0
MIL,3.94,8.4,2.7,7.8
NYM,4.58,9.2,3.2,7.0
PHI,3.27,8.0,2.5,7.9
PIT,4.40,9.4,3.3,6.4
SDP,3.77,8.2,3.2,7.1
SFG,3.57,7.7,3.4,8.1
STL,4.27,9.0,2.8,6.8
WSN,3.99,8.7,3.0,6.5
ARI,4.25,9.0,2.6,7.5
ATL,3.70,8.2,2.9,7.7
CHC,4.69,8.9,3.6,7.2
CIN,3.63,8.4,2.6,7.7
COL,5.49,10.4,3.6,7.2
HOU,4.90,9.4,3.4,7.4
LAD,3.69,7.9,3.3,7.9
MIA,4.47,9.0,3.1,7.0
MIL,4.52,9.0,3.3,8.7
NYM,4.38,8.6,3.1,7.8
PHI,4.20,8.6,2.5,8.6
PIT,4.16,8.5,3.1,7.5
SDP,4.38,8.5,3.4,7.6
SFG,4.01,8.4,3.0,7.7
STL,4.00,8.7,2.7,7.5
WSN,3.67,7.9,3.0,8.1
ARI,4.29,8.8,2.9,7.3
ATL,3.38,8.2,2.5,7.6
CHC,4.25,8.3,3.4,7.4
CIN,3.64,7.9,2.7,7.9
COL,4.69,9.7,3.2,6.7
LAD,3.59,8.2,2.9,8.0
MIA,3.99,8.5,3.2,7.3
MIL,4.24,8.7,2.9,7.0
NYM,4.22,8.8,2.8,7.4
PHI,4.62,9.2,3.2,7.5
PIT,3.56,7.9,3.2,7.7
SDP,4.32,8.7,3.2,7.2
SFG,4.27,8.6,3.2,7.8
STL,3.68,8.4,2.8,7.7
WSN,3.86,8.5,2.5,7.7
